X_Value,Y1_Value,Y2_Value,Y3_Value
1,-178.7092421,102425.9382,102247.229
2,-180.54683,102227.8622,102047.3154
3,-182.2776421,102035.2494,101852.9718
4,-183.9039794,101847.8829,101663.9789
5,-185.428143,101665.5459,101480.1178
6,-186.8524336,101488.0217,101301.1693
7,-188.1791522,101315.0934,101126.9142
8,-189.4105997,101146.5442,100957.1336
9,-190.5490772,100982.1574,100791.6083
10,-191.5968854,100821.7162,100630.1193
11,-192.5563253,100665.0037,100472.4474
12,-193.4296979,100511.8032,100318.3735
13,-194.219304,100361.898,100167.6787
14,-194.9274447,100215.0711,100020.1437
15,-195.5564207,100071.1058,99875.54938
16,-196.1085332,99929.78534,99733.67681
17,-196.5860829,99790.89291,99594.30683
18,-196.9913708,99654.21171,99457.22034
19,-197.3266978,99519.52495,99322.19825
20,-197.5943649,99386.61585,99189.02149
21,-197.796673,99255.2676,99057.47093
22,-197.935923,99125.26342,98927.3275
23,-198.0144158,98996.38651,98798.37209
24,-198.0344524,98868.42009,98670.38564
25,-197.9983337,98741.14735,98543.14902
26,-197.9083606,98614.35152,98416.44316
27,-197.766834,98487.8158,98290.04897
28,-197.5760549,98361.32339,98163.74734
29,-197.3383243,98234.65751,98037.31919
30,-197.0559429,98107.60136,97910.54542
31,-196.7312118,97979.93815,97783.20694
32,-196.3664319,97851.45109,97655.08466
33,-195.9639041,97721.9234,97525.9595
34,-195.5259293,97591.13826,97395.61233
35,-195.0548084,97458.8789,97263.82409
36,-194.5528425,97324.92853,97130.37569
37,-194.0223324,97189.07034,96995.04801
38,-193.465579,97051.08756,96857.62198
39,-192.8848832,96910.76338,96717.8785
40,-192.2825461,96767.88102,96575.59847
41,-191.6608685,96622.22369,96430.56282
42,-191.0221513,96473.57459,96282.55244
43,-190.3686955,96321.71692,96131.34822
44,-189.702802,96166.43391,95976.73111
45,-189.0267717,96007.50876,95818.48199
46,-188.3429056,95844.72467,95656.38176
47,-187.6535046,95677.86486,95490.21136
48,-186.9608695,95506.71253,95319.75166
49,-186.2673014,95331.05089,95144.78359
50,-185.5751012,95150.66315,94965.08805
51,-184.8865697,94965.33252,94780.44595
52,-184.2040079,94774.8422,94590.63819
53,-183.5297168,94578.97541,94395.44569
54,-182.8659973,94377.51536,94194.64936
55,-182.2151502,94170.24524,93988.03009
56,-181.5794766,93956.94827,93775.36879
57,-180.9612773,93737.40766,93556.44638
58,-180.3628533,93511.40662,93331.04377
59,-179.7865055,93278.72835,93098.94184
60,-179.2345348,93039.15606,92859.92153
61,-178.7092421,92792.47297,92613.76373
62,-178.2124455,92538.54635,92360.3339
63,-177.7440308,92277.57985,92099.83582
64,-177.3034012,92009.86118,91832.55778
65,-176.8899597,91735.67805,91558.78809
66,-176.5031093,91455.31817,91278.81506
67,-176.1422529,91169.06925,90992.927
68,-175.8067938,90877.21902,90701.41223
69,-175.4961348,90580.05518,90404.55905
70,-175.209679,90277.86545,90102.65577
71,-174.9468295,89970.93754,89795.99071
72,-174.7069892,89659.55916,89484.85217
73,-174.4895612,89344.01804,89169.52848
74,-174.2939486,89024.60187,88850.30792
75,-174.1195543,88701.59838,88527.47883
76,-173.9657814,88375.29527,88201.32949
77,-173.8320328,88045.98027,87872.14824
78,-173.7177118,87713.94108,87540.22337
79,-173.6222212,87379.46543,87205.84321
80,-173.5449641,87042.84101,86869.29605
81,-173.4853435,86704.35555,86530.87021
82,-173.4427625,86364.29676,86190.854
83,-173.416624,86022.95235,85849.53573
84,-173.4063312,85680.61004,85507.20371
85,-173.411287,85337.55754,85164.14625
86,-173.4308945,84994.08256,84820.65167
87,-173.4645567,84650.47282,84477.00826
88,-173.5116766,84307.01603,84133.50435
89,-173.5716573,83963.99991,83790.42825
90,-173.6439017,83621.71216,83448.06826
91,-173.727813,83280.4405,83106.71269
92,-173.8227941,82940.47265,82766.64986
93,-173.9282481,82602.09631,82428.16806
94,-174.043578,82265.59921,82091.55563
95,-174.1681868,81931.26905,81757.10086
96,-174.3014775,81599.39355,81425.09207
97,-174.4428533,81270.26042,81095.81757
98,-174.5917171,80944.15737,80769.56565
99,-174.7474719,80621.37213,80446.62466
100,-174.9095208,80302.1924,80127.28288
101,-175.0772667,79986.90589,79811.82862
102,-175.2501129,79675.80032,79500.55021
103,-175.4274621,79369.16341,79193.73595
104,-175.6087176,79067.28286,78891.67414
105,-175.7932823,78770.44639,78594.65311
106,-175.9805592,78478.94172,78302.96116
107,-176.1699514,78193.05655,78016.8866
108,-176.3608619,77913.07861,77736.71775
109,-176.5526937,77639.29559,77462.7429
110,-176.7448499,77371.99523,77195.25038
111,-176.9367335,77111.46522,76934.52849
112,-177.1277475,76857.99329,76680.86554
113,-177.317295,76611.86715,76434.54986
114,-177.5047789,76373.37451,76195.86973
115,-177.6896023,76142.80309,75965.11349
116,-177.8711683,75920.44059,75742.56942
117,-178.0488798,75706.57474,75528.52586
118,-178.2221399,75501.49324,75323.2711
119,-178.3903517,75305.48381,75127.09346
120,-178.5529181,75118.83416,74940.28124
121,-178.7092421,74941.83201,74763.12277
122,-178.8588409,74774.68212,74595.82328
123,-179.0016873,74617.25749,74438.2558
124,-179.1378683,74469.34815,74290.21028
125,-179.267471,74330.74415,74151.47668
126,-179.3905821,74201.23554,74021.84496
127,-179.5072888,74080.61236,73901.10507
128,-179.6176779,73968.66464,73789.04696
129,-179.7218364,73865.18245,73685.46061
130,-179.8198513,73769.95581,73590.13596
131,-179.9118096,73682.77477,73502.86296
132,-179.9977981,73603.42938,73423.43158
133,-180.0779039,73531.70968,73351.63178
134,-180.1522138,73467.40572,73287.25351
135,-180.2208149,73410.30753,73230.08672
136,-180.2837942,73360.20516,73179.92137
137,-180.3412385,73316.88866,73136.54742
138,-180.3932349,73280.14807,73099.75484
139,-180.4398703,73249.77343,73069.33356
140,-180.4812316,73225.55478,73045.07355
141,-180.5174058,73207.28218,73026.76477
142,-180.5484799,73194.74566,73014.19718
143,-180.5745408,73187.73526,73007.16072
144,-180.5956755,73186.04104,73005.44536
145,-180.611971,73189.45303,73008.84106
146,-180.6235141,73197.76127,73017.13776
147,-180.630392,73210.75582,73030.12543
148,-180.6326914,73228.22672,73047.59403
149,-180.6304994,73249.964,73069.3335
150,-180.6239029,73275.75772,73095.13382
151,-180.612989,73305.39791,73124.78492
152,-180.5978445,73338.67463,73158.07679
153,-180.5785564,73375.37791,73194.79935
154,-180.5552116,73415.29779,73234.74258
155,-180.5278972,73458.22433,73277.69643
156,-180.4967001,73503.94756,73323.45086
157,-180.4617072,73552.25753,73371.79582
158,-180.4230056,73602.94428,73422.52127
159,-180.380682,73655.79786,73475.41718
160,-180.3348236,73710.60831,73530.27349
161,-180.2855173,73767.16567,73586.88015
162,-180.23285,73825.25999,73645.02714
163,-180.1769087,73884.68131,73704.5044
164,-180.1177804,73945.21967,73765.10189
165,-180.0555519,74006.66513,73826.60958
166,-179.9903103,74068.80771,73888.8174
167,-179.9221426,74131.43747,73951.51533
168,-179.8511356,74194.34445,74014.49331
169,-179.7773764,74257.31869,74077.54131
170,-179.7009519,74320.15024,74140.44929
171,-179.621949,74382.62914,74203.00719
172,-179.5404547,74444.54543,74265.00498
173,-179.456556,74505.68916,74326.2326
174,-179.3703399,74565.85037,74386.48003
175,-179.2818932,74624.81911,74445.53722
176,-179.191303,74682.38542,74503.19412
177,-179.0986562,74738.33934,74559.24068
178,-179.0040397,74792.47091,74613.46687
179,-178.9075406,74844.57018,74665.66264
180,-178.8092457,74894.4272,74715.61795
181,-178.7092421,74941.83201,74763.12277
182,-178.6076437,74986.61901,74808.01137
183,-178.5046727,75028.80011,74850.29544
184,-178.4005781,75068.43156,74890.03098
185,-178.2956092,75105.56962,74927.27401
186,-178.190015,75140.27055,74962.08054
187,-178.0840446,75172.59062,74994.50658
188,-177.9779473,75202.58609,75024.60814
189,-177.8719722,75230.3132,75052.44123
190,-177.7663684,75255.82824,75078.06187
191,-177.661385,75279.18745,75101.52607
192,-177.5572712,75300.4471,75122.88983
193,-177.4542761,75319.66344,75142.20916
194,-177.3526489,75336.89274,75159.54009
195,-177.2526387,75352.19127,75174.93863
196,-177.1544946,75365.61527,75188.46078
197,-177.0584658,75377.22101,75200.16254
198,-176.9648014,75387.06475,75210.09995
199,-176.8737506,75395.20275,75218.329
200,-176.7855624,75401.69127,75224.90571
201,-176.7004861,75406.58658,75229.88609
202,-176.6187707,75409.94493,75233.32616
203,-176.5406655,75411.82258,75235.28191
204,-176.4664194,75412.2758,75235.80938
205,-176.3962818,75411.36084,75234.96456
206,-176.3305017,75409.13397,75232.80347
207,-176.2693283,75405.65144,75229.38211
208,-176.2130106,75400.96952,75224.75651
209,-176.1617979,75395.14447,75218.98267
210,-176.1159393,75388.23254,75212.1166
211,-176.0756838,75380.29,75204.21432
212,-176.0412807,75371.37311,75195.33183
213,-176.0129792,75361.53814,75185.52516
214,-175.9910282,75350.84133,75174.8503
215,-175.975677,75339.33895,75163.36327
216,-175.9671747,75327.08726,75151.12009
217,-175.9657705,75314.14252,75138.17675
218,-175.9717134,75300.561,75124.58929
219,-175.9852527,75286.39895,75110.4137
220,-176.0066374,75271.71264,75095.706
221,-176.0361167,75256.55831,75080.52219
222,-176.0739398,75240.99225,75064.91831
223,-176.1203557,75225.0707,75048.95034
224,-176.1756137,75208.84992,75032.67431
225,-176.2399628,75192.38618,75016.14622
226,-176.3136522,75175.73574,74999.42209
227,-176.396931,75158.95486,74982.55793
228,-176.4900484,75142.09979,74965.60974
229,-176.5932535,75125.22681,74948.63356
230,-176.7067954,75108.39216,74931.68536
231,-176.8309233,75091.65212,74914.8212
