X_Value,Y_Value
1,134293.5277
2,-16814.90514
3,-16968.45352
4,-17176.47343
5,-17437.19499
6,-17748.90035
7,-18109.90402
8,-18518.42573
9,-18972.78003
10,-19471.21779
11,-20011.9914
12,-20593.41398
13,-21213.76855
14,-21871.2754
15,-22564.21727
16,-23290.9081
17,-24049.59943
18,-24838.54277
19,-25656.02085
20,-26500.3164
21,-27369.71216
22,-28262.45964
23,-29176.84158
24,-30111.10949
25,-31063.57732
26,-32032.49659
27,-33016.11881
28,-34012.75791
29,-35020.63423
30,-36038.06168
31,-37063.323
32,-38094.63849
33,-39130.3221
34,-40168.62534
35,-41207.86214
36,-42246.25264
37,-43282.08001
38,-44313.62681
39,-45339.20671
40,-46357.00926
41,-47365.37898
42,-48362.53699
43,-49346.79622
44,-50316.4094
45,-51269.62662
46,-52204.76345
47,-53120.10076
48,-54013.86097
49,-54884.32444
50,-55729.8077
51,-56548.52823
52,-57338.80305
53,-58098.88032
54,-58827.0464
55,-59521.58009
56,-60180.70592
57,-60802.76452
58,-61385.981
59,-61928.63299
60,-62429.00861
61,-62885.38489
62,-63296.01934
63,-63659.67861
64,-63977.00943
65,-64249.13602
66,-64477.2894
67,-64662.50042
68,-64805.99981
69,-64908.91235
70,-64972.37484
71,-64997.51235
72,-64985.5238
73,-64937.50338
74,-64854.61845
75,-64737.9887
76,-64588.79815
77,-64408.15937
78,-64197.23709
79,-63957.19782
80,-63689.13699
81,-63394.22069
82,-63073.57124
83,-62728.39886
84,-62359.78895
85,-61968.90587
86,-61556.91484
87,-61124.90891
88,-60674.06083
89,-60205.55943
90,-59720.469
91,-59219.98612
92,-58705.27337
93,-58177.39778
94,-57637.58576
95,-57086.96521
96,-56526.63827
97,-55957.79681
98,-55381.54159
99,-54799.06495
100,-54211.46733
101,-53619.94138
102,-53025.58725
103,-52429.59738
104,-51833.07289
105,-51237.17491
106,-50643.03417
107,749092.2926
108,749679.4209
109,750261.3679
110,750836.9406
111,751405.008
112,751964.4392
113,752514.0723
114,753052.8076
115,753579.4518
116,754092.8429
117,754591.9124
118,755075.436
119,755542.3139
120,755991.3842
121,756421.5159
122,756831.547
123,757220.6169
124,757588.9148
125,757936.9625
126,758265.2196
127,758574.1768
128,758864.325
129,759136.1236
130,759390.0635
131,759626.6353
132,759846.3299
133,760049.638
134,760236.988
135,760408.933
136,760565.9325
137,760708.4463
138,760836.9961
139,760952.0416
140,761054.0423
141,761143.5514
142,761220.9972
143,761286.8706
144,761341.6622
145,761385.8628
146,761419.9632
147,761444.4229
148,761459.7327
149,761466.3834
150,761464.8657
151,761455.6392
152,761439.1945
153,761416.0226
154,761386.6141
155,761351.4599
156,761311.0194
157,761265.7834
158,761216.2115
159,761162.8569
160,761106.1479
161,761046.544
162,760984.5984
163,760920.7708
164,760855.5205
165,760789.3385
166,760722.7466
167,760656.1733
168,760590.1092
169,760525.0763
170,760461.5343
171,760399.9738
172,760340.8856
173,760284.7293
174,760232.0268
175,760183.2065
176,760138.7903
177,760099.2379
178,760065.0711
179,760036.7495
180,760014.764
181,759999.574
182,759991.7015
183,759991.4993
184,759998.9871
185,760014.0153
186,760036.5279
187,760066.3754
188,760103.4706
189,760147.695
190,760198.9616
191,760257.1207
192,760322.1163
193,760393.799
194,760472.0814
195,760556.8453
196,760647.9722
197,760745.4062
198,760848.9664
199,760958.597
200,761074.1795
201,761195.5956
202,761322.7269
203,761455.4861
204,761593.7862
205,761737.4775
206,761886.4417
207,762040.6227
208,762199.9023
209,762364.1308
210,762533.2211
211,762707.0859
212,762885.5757
213,763068.6345
214,763256.1128
215,763447.9234
216,763643.979
217,763844.0989
218,764048.2584
219,764256.2766
220,764468.1288
221,764683.603
222,764902.7056
223,765125.2246
224,765351.1041
225,765580.2568
226,765812.5333
227,766047.8463
228,766286.0774
229,766527.1083
230,766770.8518
231,767017.2207
232,767266.0343
233,767517.2677
234,767770.7713
235,768026.4269
236,768284.1472
237,768543.8138
238,768805.3396
239,769068.575
240,769333.464
241,769599.857
242,769867.6669
243,770136.8493
244,770407.5939
245,770680.2579
246,770955.0428
247,771232.2746
248,771512.2794
249,771795.2586
250,772081.5695
251,772371.4447
252,772665.2414
253,772963.1611
254,773265.5297
255,773572.6423
256,773884.7938
257,774202.248
258,774525.2684
259,774854.1814
260,775189.2505
261,775530.802
262,775879.0683
263,776234.3444
264,776596.9565
265,776967.137
266,777345.212
267,777731.4454
268,778126.1632
269,778529.5667
270,778942.0446
271,779363.7981
272,779795.1533
273,780236.4052
274,780687.8175
275,781149.6851
276,781622.3031
277,276514.6047
278,277009.5826
279,277516.1333
280,278034.5517
281,278565.164
282,-14443.92239
283,-13888.0961
284,-13319.2534
285,-12737.09943
286,-12141.33926
287,9480.834398
288,10104.66027
289,10742.94593
290,11395.95512
291,12064.01399
292,790878.1803
293,791577.1478
294,792291.9872
295,793023.0244
296,793770.4921
297,794534.7475
298,795315.9921
299,796114.583
300,796930.7841
301,797764.8591
302,798617.1028
303,799487.6831
304,800376.103
305,801281.8005
306,802204.1513
307,803142.5624
308,804096.4093
309,805065.1303
310,806048.1009
311,807044.7281
312,808054.4188
313,809076.5486
314,810110.5245
315,811155.7532
316,812211.6106
317,813277.5347
318,814352.9012
319,815437.0857
320,816529.5265
321,817629.6302
322,818736.7415
323,819850.2985
324,820969.7079
325,822094.3144
326,823223.5871
327,824356.8706
328,825493.603
329,826633.16
330,827774.9484
331,828918.3751
332,830062.7846
333,831207.6463
334,832352.3357
335,833496.2598
336,834638.7943
337,835779.3148
338,836917.2907
339,838052.0664
340,839183.08
341,840309.7071
342,841431.3235
343,842547.3671
344,843657.2137
345,844760.27
346,845855.9429
347,846943.6079
348,848022.6717
349,849092.572
350,850152.6217
351,851202.3206
352,852240.9809
353,853268.1013
354,854282.9301
355,855284.9635
356,856273.789
357,857248.4159
358,858208.5124
359,859153.3204
360,860082.4174
361,860995.0295
362,701740.1394
363,702618.3387
364,703479.2452
365,704323.3444
366,705150.9967
367,476058.4863
368,476854.3937
369,477634.9986
370,478400.6615
371,479151.743
372,470693.4217
373,471416.6722
374,472126.4855
375,472823.3471
376,473507.5553
377,473811.7844
378,474471.8923
379,475120.6158
380,475758.253
381,476385.2271
382,476987.1861
383,477593.9157
384,478191.1264
385,478779.1787
386,479358.4958
387,479928.8497
388,480491.778
389,481047.0529
390,481595.1599
391,482136.4594
392,482671.2886
393,483199.9928
394,483723.0963
395,484240.8972
396,484753.7563
397,485262.0955
398,485766.2774
399,486266.7241
400,486763.7961
401,487257.8542
402,487749.3211
403,488238.6202
404,488726.0495
405,489212.0321
406,489696.9286
407,490181.162
408,490665.1553
409,491149.1443
410,491633.6769
411,492119.0512
412,93097.07527
413,93585.34457
414,94075.66234
415,94568.32676
416,95063.82328
417,95562.45011
418,96064.63026
419,96570.78679
420,97081.28031
421,97596.47142
422,98116.72074
423,98642.31334
424,99173.04483
425,99708.32307
426,100247.8056
427,100791.0876
428,101337.7017
429,101887.1807
430,102439.1819
431,102993.1758
432,103548.8822
433,104105.7091
434,104663.3139
435,105221.2919
436,105779.1131
437,106336.4353
438,106892.8535
439,107447.838
440,108001.0462
441,108551.9486
442,109100.2651
443,109645.4034
444,110187.0836
