Y_Value,X_Value
-178.7092421,1
-180.54683,2
-182.2776421,3
-183.9039794,4
-185.428143,5
-186.8524336,6
-188.1791522,7
-189.4105997,8
-190.5490772,9
-191.5968854,10
-192.5563253,11
-193.4296979,12
-194.219304,13
-194.9274447,14
-195.5564207,15
-196.1085332,16
-196.5860829,17
-196.9913708,18
-197.3266978,19
-197.5943649,20
-197.796673,21
-197.935923,22
-198.0144158,23
-198.0344524,24
-197.9983337,25
-197.9083606,26
-197.766834,27
-197.5760549,28
-197.3383243,29
-197.0559429,30
-196.7312118,31
-196.3664319,32
-195.9639041,33
-195.5259293,34
-195.0548084,35
-194.5528425,36
-194.0223324,37
-193.465579,38
-192.8848832,39
-192.2825461,40
-191.6608685,41
-191.0221513,42
-190.3686955,43
-189.702802,44
-189.0267717,45
-188.3429056,46
-187.6535046,47
-186.9608695,48
-186.2673014,49
-185.5751012,50
-184.8865697,51
-184.2040079,52
-183.5297168,53
-182.8659973,54
-182.2151502,55
-181.5794766,56
-180.9612773,57
-180.3628533,58
-179.7865055,59
-179.2345348,60
-178.7092421,61
-178.2124455,62
-177.7440308,63
-177.3034012,64
-176.8899597,65
-176.5031093,66
-176.1422529,67
-175.8067938,68
-175.4961348,69
-175.209679,70
-174.9468295,71
-174.7069892,72
-174.4895612,73
-174.2939486,74
-174.1195543,75
-173.9657814,76
-173.8320328,77
-173.7177118,78
-173.6222212,79
-173.5449641,80
-173.4853435,81
-173.4427625,82
-173.416624,83
-173.4063312,84
-173.411287,85
-173.4308945,86
-173.4645567,87
-173.5116766,88
-173.5716573,89
-173.6439017,90
-173.727813,91
-173.8227941,92
-173.9282481,93
-174.043578,94
-174.1681868,95
-174.3014775,96
-174.4428533,97
-174.5917171,98
-174.7474719,99
-174.9095208,100
-175.0772667,101
-175.2501129,102
-175.4274621,103
-175.6087176,104
-175.7932823,105
-175.9805592,106
-176.1699514,107
-176.3608619,108
-176.5526937,109
-176.7448499,110
-176.9367335,111
-177.1277475,112
-177.317295,113
-177.5047789,114
-177.6896023,115
-177.8711683,116
-178.0488798,117
-178.2221399,118
-178.3903517,119
-178.5529181,120
-178.7092421,121
-178.8588409,122
-179.0016873,123
-179.1378683,124
-179.267471,125
-179.3905821,126
-179.5072888,127
-179.6176779,128
-179.7218364,129
-179.8198513,130
-179.9118096,131
-179.9977981,132
-180.0779039,133
-180.1522138,134
-180.2208149,135
-180.2837942,136
-180.3412385,137
-180.3932349,138
-180.4398703,139
-180.4812316,140
-180.5174058,141
-180.5484799,142
-180.5745408,143
-180.5956755,144
-180.611971,145
-180.6235141,146
-180.630392,147
-180.6326914,148
-180.6304994,149
-180.6239029,150
-180.612989,151
-180.5978445,152
-180.5785564,153
-180.5552116,154
-180.5278972,155
-180.4967001,156
-180.4617072,157
-180.4230056,158
-180.380682,159
-180.3348236,160
-180.2855173,161
-180.23285,162
-180.1769087,163
-180.1177804,164
-180.0555519,165
-179.9903103,166
-179.9221426,167
-179.8511356,168
-179.7773764,169
-179.7009519,170
-179.621949,171
-179.5404547,172
-179.456556,173
-179.3703399,174
-179.2818932,175
-179.191303,176
-179.0986562,177
-179.0040397,178
-178.9075406,179
-178.8092457,180
-178.7092421,181
-178.6076437,182
-178.5046727,183
-178.4005781,184
-178.2956092,185
-178.190015,186
-178.0840446,187
-177.9779473,188
-177.8719722,189
-177.7663684,190
-177.661385,191
-177.5572712,192
-177.4542761,193
-177.3526489,194
-177.2526387,195
-177.1544946,196
-177.0584658,197
-176.9648014,198
-176.8737506,199
-176.7855624,200
-176.7004861,201
-176.6187707,202
-176.5406655,203
-176.4664194,204
-176.3962818,205
-176.3305017,206
-176.2693283,207
-176.2130106,208
-176.1617979,209
-176.1159393,210
-176.0756838,211
-176.0412807,212
-176.0129792,213
-175.9910282,214
-175.975677,215
-175.9671747,216
-175.9657705,217
-175.9717134,218
-175.9852527,219
-176.0066374,220
-176.0361167,221
-176.0739398,222
-176.1203557,223
-176.1756137,224
-176.2399628,225
-176.3136522,226
-176.396931,227
-176.4900484,228
-176.5932535,229
-176.7067954,230
-176.8309233,231
-176.9658864,232
-177.1119337,233
-177.2693144,234
-177.4382776,235
-177.6190726,236
-177.8119483,237
-178.017154,238
-178.2349387,239
-178.4655518,240
-178.7092421,241
-178.9660369,242
-179.2350747,243
-179.5152719,244
-179.8055451,245
-180.1048108,246
-180.4119854,247
-180.7259855,248
-181.0457275,249
-181.3701279,250
-181.6981031,251
-182.0285698,252
-182.3604444,253
-182.6926433,254
-183.024083,255
-183.3536801,256
-183.680351,257
-184.0030122,258
-184.3205803,259
-184.6319716,260
-184.9361027,261
-185.23189,262
-185.5182501,263
-185.7940994,264
-186.0583545,265
-186.3099318,266
-186.5477478,267
-186.7707189,268
-186.9777618,269
-187.1677928,270
-187.3397285,271
-187.4924853,272
-187.6249797,273
-187.7361283,274
-187.8248475,275
-187.8900537,276
-187.9306636,277
-187.9455935,278
-187.9337599,279
-187.8940794,280
-187.8254685,281
-187.7268435,282
-187.5971211,283
-187.4352176,284
-187.2400497,285
-187.0105337,286
-186.7455862,287
-186.4441236,288
-186.1050624,289
-185.7273192,290
-185.3098104,291
-184.8514525,292
-184.351162,293
-183.8078553,294
-183.220449,295
-182.5878596,296
-181.9090034,297
-181.1827972,298
-180.4081572,299
-179.584,300
-178.7092421,301
-177.7836614,302
-176.8104814,303
-175.793787,304
-174.7376631,305
-173.6461946,306
-172.5234664,307
-171.3735635,308
-170.2005707,309
-169.0085729,310
-167.8016552,311
-166.5839023,312
-165.3593992,313
-164.1322308,314
-162.906482,315
-161.6862378,316
-160.4755829,317
-159.2786024,318
-158.0993812,319
-156.9420041,320
-155.8105561,321
-154.709122,322
