Y_Value,X_Value,Z_Value
-178.7092421,1,0
-180.54683,2,0.022795139
-182.2776421,3,0.044440943
-183.9039794,4,0.064956892
-185.428143,5,0.084362468
-186.8524336,6,0.102677149
-188.1791522,7,0.119920417
-189.4105997,8,0.136111751
-190.5490772,9,0.151270632
-191.5968854,10,0.16541654
-192.5563253,11,0.178568955
-193.4296979,12,0.190747358
-194.219304,13,0.201971228
-194.9274447,14,0.212260047
-195.5564207,15,0.221633294
-196.1085332,16,0.230110449
-196.5860829,17,0.237710993
-196.9913708,18,0.244454406
-197.3266978,19,0.250360168
-197.5943649,20,0.25544776
-197.796673,21,0.259736662
-197.935923,22,0.263246353
-198.0144158,23,0.265996315
-198.0344524,24,0.268006028
-197.9983337,25,0.269294971
-197.9083606,26,0.269882625
-197.766834,27,0.269788471
-197.5760549,28,0.269031988
-197.3383243,29,0.267632656
-197.0559429,30,0.265609957
-196.7312118,31,0.26298337
-196.3664319,32,0.259772376
-195.9639041,33,0.255996454
-195.5259293,34,0.251675085
-195.0548084,35,0.24682775
-194.5528425,36,0.241473928
-194.0223324,37,0.2356331
-193.465579,38,0.229324745
-192.8848832,39,0.222568346
-192.2825461,40,0.21538338
-191.6608685,41,0.207789329
-191.0221513,42,0.199805674
-190.3686955,43,0.191451893
-189.702802,44,0.182747469
-189.0267717,45,0.173711879
-188.3429056,46,0.164364606
-187.6535046,47,0.154725129
-186.9608695,48,0.144812929
-186.2673014,49,0.134647485
-185.5751012,50,0.124248279
-184.8865697,51,0.11363479
-184.2040079,52,0.102826498
-183.5297168,53,0.091842884
-182.8659973,54,0.080703428
-182.2151502,55,0.06942761
-181.5794766,56,0.05803491
-180.9612773,57,0.04654481
-180.3628533,58,0.034976788
-179.7865055,59,0.023350326
-179.2345348,60,0.011684903
-178.7092421,61,0
-178.2124455,62,-0.011684903
-177.7440308,63,-0.023350326
-177.3034012,64,-0.034976788
-176.8899597,65,-0.04654481
-176.5031093,66,-0.05803491
-176.1422529,67,-0.06942761
-175.8067938,68,-0.080703428
-175.4961348,69,-0.091842884
-175.209679,70,-0.102826498
-174.9468295,71,-0.11363479
-174.7069892,72,-0.124248279
-174.4895612,73,-0.134647485
-174.2939486,74,-0.144812929
-174.1195543,75,-0.154725129
-173.9657814,76,-0.164364606
-173.8320328,77,-0.173711879
-173.7177118,78,-0.182747469
-173.6222212,79,-0.191451893
-173.5449641,80,-0.199805674
-173.4853435,81,-0.207789329
-173.4427625,82,-0.21538338
-173.416624,83,-0.222568346
-173.4063312,84,-0.229324745
-173.411287,85,-0.2356331
-173.4308945,86,-0.241473928
-173.4645567,87,-0.24682775
-173.5116766,88,-0.251675085
-173.5716573,89,-0.255996454
-173.6439017,90,-0.259772376
-173.727813,91,-0.26298337
-173.8227941,92,-0.265609957
-173.9282481,93,-0.267632656
-174.043578,94,-0.269031988
-174.1681868,95,-0.269788471
-174.3014775,96,-0.269882625
-174.4428533,97,-0.269294971
-174.5917171,98,-0.268006028
-174.7474719,99,-0.265996315
