X_Value,Y_Value
1,102425.9382
2,102227.8622
3,102035.2494
4,101847.8829
5,101665.5459
6,101488.0217
7,101315.0934
8,101146.5442
9,100982.1574
10,100821.7162
11,100665.0037
12,100511.8032
13,100361.898
14,100215.0711
15,100071.1058
16,99929.78534
17,99790.89291
18,99654.21171
19,99519.52495
20,99386.61585
21,99255.2676
22,99125.26342
23,98996.38651
24,98868.42009
25,98741.14735
26,98614.35152
27,98487.8158
28,98361.32339
29,98234.65751
30,98107.60136
31,97979.93815
32,97851.45109
33,97721.9234
34,97591.13826
35,97458.8789
36,97324.92853
37,97189.07034
38,97051.08756
39,96910.76338
40,96767.88102
41,96622.22369
42,96473.57459
43,96321.71692
44,96166.43391
45,96007.50876
46,95844.72467
47,95677.86486
48,95506.71253
49,95331.05089
50,95150.66315
51,94965.33252
52,94774.8422
53,94578.97541
54,94377.51536
55,94170.24524
56,93956.94827
57,93737.40766
58,93511.40662
59,93278.72835
60,93039.15606
61,92792.47297
62,92538.54635
63,92277.57985
64,92009.86118
65,91735.67805
66,91455.31817
67,91169.06925
68,90877.21902
69,90580.05518
70,90277.86545
71,89970.93754
72,89659.55916
73,89344.01804
74,89024.60187
75,88701.59838
76,88375.29527
77,88045.98027
78,87713.94108
79,87379.46543
80,87042.84101
81,86704.35555
82,86364.29676
83,86022.95235
84,85680.61004
85,85337.55754
86,84994.08256
87,84650.47282
88,84307.01603
89,83963.99991
90,83621.71216
91,83280.4405
92,82940.47265
93,82602.09631
94,82265.59921
95,81931.26905
96,81599.39355
97,81270.26042
98,80944.15737
99,80621.37213
100,80302.1924
101,79986.90589
102,79675.80032
103,79369.16341
104,79067.28286
105,78770.44639
106,78478.94172
107,78193.05655
108,77913.07861
109,77639.29559
110,77371.99523
111,77111.46522
112,76857.99329
113,76611.86715
114,76373.37451
115,76142.80309
116,75920.44059
117,75706.57474
118,75501.49324
119,75305.48381
120,75118.83416
121,74941.83201
122,74774.68212
123,74617.25749
124,74469.34815
125,74330.74415
126,74201.23554
127,74080.61236
128,73968.66464
129,73865.18245
130,73769.95581
131,73682.77477
132,73603.42938
133,73531.70968
134,73467.40572
135,73410.30753
136,73360.20516
137,73316.88866
138,73280.14807
139,73249.77343
140,73225.55478
141,73207.28218
142,73194.74566
143,73187.73526
144,73186.04104
145,73189.45303
146,73197.76127
147,73210.75582
148,73228.22672
149,73249.964
150,73275.75772
151,73305.39791
152,73338.67463
153,73375.37791
154,73415.29779
155,73458.22433
156,73503.94756
157,73552.25753
158,73602.94428
159,73655.79786
160,73710.60831
161,73767.16567
162,73825.25999
163,73884.68131
164,73945.21967
165,74006.66513
166,74068.80771
167,74131.43747
168,74194.34445
169,74257.31869
170,74320.15024
171,74382.62914
172,74444.54543
173,74505.68916
174,74565.85037
175,74624.81911
176,74682.38542
177,74738.33934
178,74792.47091
179,74844.57018
180,74894.4272
181,74941.83201
182,74986.61901
183,75028.80011
184,75068.43156
185,75105.56962
186,75140.27055
187,75172.59062
188,75202.58609
189,75230.3132
190,75255.82824
191,75279.18745
192,75300.4471
193,75319.66344
194,75336.89274
195,75352.19127
196,75365.61527
197,75377.22101
198,75387.06475
199,75395.20275
200,75401.69127
201,75406.58658
202,75409.94493
203,75411.82258
204,75412.2758
205,75411.36084
206,75409.13397
207,75405.65144
208,75400.96952
209,75395.14447
210,75388.23254
211,75380.29
212,75371.37311
213,75361.53814
214,75350.84133
215,75339.33895
216,75327.08726
217,75314.14252
218,75300.561
219,75286.39895
220,75271.71264
221,75256.55831
222,75240.99225
223,75225.0707
224,75208.84992
225,75192.38618
226,75175.73574
227,75158.95486
228,75142.09979
229,75125.22681
230,75108.39216
231,75091.65212
232,75075.06293
233,75058.68087
234,75042.56219
235,75026.76315
236,75011.34001
237,74996.34904
238,74981.84649
239,74967.88863
240,74954.53172
241,74941.83201
242,74929.83387
243,74918.53412
244,74907.91766
245,74897.96941
246,74888.67428
247,74880.01719
248,74871.98305
249,74864.55678
250,74857.72328
251,74851.46747
252,74845.77427
253,74840.62859
254,74836.01535
255,74831.91945
256,74828.32581
257,74825.21935
258,74822.58498
259,74820.40761
260,74818.67216
261,74817.36354
262,74816.46666
263,74815.96645
264,74815.8478
265,74816.09565
266,74816.69489
267,74817.63045
268,74818.88724
269,74820.45017
270,74822.30416
271,74824.43411
272,74826.82495
273,74829.46159
274,74832.32894
275,74835.41192
276,74838.69544
277,74842.16441
278,74845.80375
279,74849.59837
280,74853.53318
281,74857.59311
282,74861.76306
283,74866.02794
284,74870.37268
285,74874.78218
286,74879.24136
287,74883.73514
288,74888.24842
289,74892.76612
290,74897.27315
291,74901.75444
292,74906.19488
293,74910.57941
294,74914.89292
295,74919.12034
296,74923.24657
297,74927.25654
298,74931.13515
299,74934.86733
300,74938.43797
301,74941.83201
302,74945.03754
303,74948.05545
304,74950.88984
305,74953.54478
306,74956.02435
307,74958.33265
308,74960.47374
309,74962.45173
310,74964.27069
311,74965.9347
312,74967.44786
313,74968.81423
314,74970.03791
315,74971.12299
316,74972.07353
317,74972.89364
318,74973.58738
319,74974.15886
320,74974.61214
321,74974.95131
322,74975.18046
323,74975.30367
324,74975.32503
325,74975.24861
326,74975.07851
327,74974.8188
328,74974.47357
329,74974.0469
330,74973.54288
331,74972.96559
332,74972.31911
333,74971.60753
334,74970.83494
335,74970.00541
336,74969.12303
337,74968.19188
338,74967.21605
339,74966.19961
340,74965.14667
341,74964.06129
342,74962.94756
343,74961.80957
344,74960.6514
345,74959.47713
346,74958.29085
347,74957.09664
348,74955.89858
349,74954.70076
350,74953.50727
351,74952.32218
