Z_Value,X_Value,Y_Value
116900,1,102425.9382
116963.5818,2,102227.8622
117025.1609,3,102035.2494
117084.761,4,101847.8829
117142.4063,5,101665.5459
117198.1207,6,101488.0217
117251.9281,7,101315.0934
117303.8525,8,101146.5442
117353.9179,9,100982.1574
117402.1482,10,100821.7162
117448.5674,11,100665.0037
117493.1994,12,100511.8032
117536.0683,13,100361.898
117577.198,14,100215.0711
117616.6125,15,100071.1058
117654.3357,16,99929.78534
117690.3916,17,99790.89291
117724.8041,18,99654.21171
117757.5972,19,99519.52495
117788.7949,20,99386.61585
117818.4212,21,99255.2676
117846.5,22,99125.26342
117873.0553,23,98996.38651
117898.111,24,98868.42009
117921.6911,25,98741.14735
117943.8196,26,98614.35152
117964.5205,27,98487.8158
117983.8176,28,98361.32339
118001.735,29,98234.65751
118018.2967,30,98107.60136
118033.5265,31,97979.93815
118047.4485,32,97851.45109
118060.0866,33,97721.9234
118071.4649,34,97591.13826
118081.6071,35,97458.8789
118090.5374,36,97324.92853
118098.2797,37,97189.07034
118104.858,38,97051.08756
118110.2961,39,96910.76338
118114.6182,40,96767.88102
118117.8481,41,96622.22369
118120.0098,42,96473.57459
118121.1273,43,96321.71692
118121.2245,44,96166.43391
118120.3254,45,96007.50876
118118.4541,46,95844.72467
118115.6343,47,95677.86486
118111.8901,48,95506.71253
118107.2456,49,95331.05089
118101.7245,50,95150.66315
118095.351,51,94965.33252
118088.1489,52,94774.8422
118080.1422,53,94578.97541
118071.3549,54,94377.51536
118061.811,55,94170.24524
118051.5344,56,93956.94827
118040.5491,57,93737.40766
118028.879,58,93511.40662
118016.5482,59,93278.72835
118003.5805,60,93039.15606
117990,61,92792.47297
117975.8306,62,92538.54635
117961.0963,63,92277.57985
117945.821,64,92009.86118
117930.0287,65,91735.67805
117913.7434,66,91455.31817
117896.989,67,91169.06925
117879.7895,68,90877.21902
117862.1689,69,90580.05518
117844.1511,70,90277.86545
117825.7602,71,89970.93754
117807.0199,72,89659.55916
117787.9544,73,89344.01804
117768.5876,74,89024.60187
117748.9435,75,88701.59838
117729.0459,76,88375.29527
117708.919,77,88045.98027
117688.5866,78,87713.94108
117668.0727,79,87379.46543
117647.4013,80,87042.84101
117626.5964,81,86704.35555
117605.6818,82,86364.29676
117584.6816,83,86022.95235
117563.6198,84,85680.61004
117542.5203,85,85337.55754
117521.407,86,84994.08256
117500.304,87,84650.47282
117479.2351,88,84307.01603
117458.2245,89,83963.99991
117437.2959,90,83621.71216
117416.4735,91,83280.4405
117395.7811,92,82940.47265
117375.2428,93,82602.09631
117354.8824,94,82265.59921
117334.724,95,81931.26905
117314.7915,96,81599.39355
117295.1089,97,81270.26042
117275.7001,98,80944.15737
117256.5892,99,80621.37213
117237.8,100,80302.1924
117219.3566,101,79986.90589
117201.2828,102,79675.80032
117183.6028,103,79369.16341
117166.3404,104,79067.28286
117149.5196,105,78770.44639
117133.1643,106,78478.94172
117117.2986,107,78193.05655
117101.9464,108,77913.07861
117087.1317,109,77639.29559
117072.8783,110,77371.99523
117059.2104,111,77111.46522
117046.1518,112,76857.99329
117033.7266,113,76611.86715
117021.9586,114,76373.37451
117010.8719,115,76142.80309
117000.4904,116,75920.44059
116990.8381,117,75706.57474
116981.939,118,75501.49324
116973.8169,119,75305.48381
116966.4959,120,75118.83416
116960,121,74941.83201
116954.3442,122,74774.68212
116949.5078,123,74617.25749
116945.4613,124,74469.34815
116942.1752,125,74330.74415
116939.6199,126,74201.23554
116937.7659,127,74080.61236
116936.5836,128,73968.66464
116936.0435,129,73865.18245
116936.116,130,73769.95581
116936.7716,131,73682.77477
116937.9808,132,73603.42938
116939.7139,133,73531.70968
116941.9415,134,73467.40572
116944.634,135,73410.30753
116947.7618,136,73360.20516
116951.2954,137,73316.88866
116955.2053,138,73280.14807
116959.4619,139,73249.77343
116964.0357,140,73225.55478
116968.8971,141,73207.28218
116974.0165,142,73194.74566
116979.3645,143,73187.73526
116984.9114,144,73186.04104
116990.6278,145,73189.45303
116996.4841,146,73197.76127
117002.4507,147,73210.75582
117008.4981,148,73228.22672
117014.5967,149,73249.964
117020.717,150,73275.75772
117026.8295,151,73305.39791
117032.9045,152,73338.67463
117038.9127,153,73375.37791
117044.8243,154,73415.29779
117050.6099,155,73458.22433
117056.2399,156,73503.94756
117061.6848,157,73552.25753
117066.915,158,73602.94428
117071.9009,159,73655.79786
117076.6131,160,73710.60831
117081.022,161,73767.16567
117085.098,162,73825.25999
117088.8116,163,73884.68131
117092.1332,164,73945.21967
117095.0333,165,74006.66513
117097.4824,166,74068.80771
117099.4509,167,74131.43747
117100.9092,168,74194.34445
117101.8278,169,74257.31869
117102.1772,170,74320.15024
117101.9278,171,74382.62914
117101.05,172,74444.54543
117099.5144,173,74505.68916
117097.2914,174,74565.85037
117094.3513,175,74624.81911
117090.6648,176,74682.38542
117086.2021,177,74738.33934
117080.9339,178,74792.47091
117074.8305,179,74844.57018
117067.8624,180,74894.4272
117060,181,74941.83201
117051.2233,182,74986.61901
117041.5501,183,75028.80011
117031.0076,184,75068.43156
117019.6231,185,75105.56962
117007.424,186,75140.27055
116994.4374,187,75172.59062
116980.6907,188,75202.58609
116966.2112,189,75230.3132
116951.026,190,75255.82824
116935.1626,191,75279.18745
116918.6481,192,75300.4471
116901.5099,193,75319.66344
116883.7753,194,75336.89274
116865.4714,195,75352.19127
116846.6256,196,75365.61527
116827.2652,197,75377.22101
116807.4174,198,75387.06475
116787.1096,199,75395.20275
116766.369,200,75401.69127
116745.2228,201,75406.58658
116723.6984,202,75409.94493
116701.823,203,75411.82258
116679.6239,204,75412.2758
116657.1285,205,75411.36084
116634.3639,206,75409.13397
116611.3574,207,75405.65144
116588.1364,208,75400.96952
116564.728,209,75395.14447
116541.1597,210,75388.23254
116517.4586,211,75380.29
116493.652,212,75371.37311
116469.7673,213,75361.53814
116445.8317,214,75350.84133
116421.8724,215,75339.33895
116397.9167,216,75327.08726
116373.992,217,75314.14252
116350.1255,218,75300.561
116326.3445,219,75286.39895
116302.6763,220,75271.71264
116279.1481,221,75256.55831
116255.7872,222,75240.99225
116232.6209,223,75225.0707
116209.6764,224,75208.84992
116186.9811,225,75192.38618
116164.5623,226,75175.73574
116142.4471,227,75158.95486
116120.663,228,75142.09979
116099.2371,229,75125.22681
116078.1967,230,75108.39216
116057.5692,231,75091.65212
116037.3817,232,75075.06293
116017.6617,233,75058.68087
115998.4363,234,75042.56219
115979.7328,235,75026.76315
115961.5785,236,75011.34001
115944.0007,237,74996.34904
115927.0267,238,74981.84649
115910.6837,239,74967.88863
115894.9991,240,74954.53172
115880,241,74941.83201
115865.7125,242,74929.83387
115852.1576,243,74918.53412
115839.3547,244,74907.91766
115827.3234,245,74897.96941
115816.0835,246,74888.67428
115805.6544,247,74880.01719
115796.0559,248,74871.98305
115787.3074,249,74864.55678
115779.4286,250,74857.72328
115772.4391,251,74851.46747
115766.3585,252,74845.77427
115761.2064,253,74840.62859
115757.0023,254,74836.01535
115753.766,255,74831.91945
115751.517,256,74828.32581
115750.2749,257,74825.21935
115750.0592,258,74822.58498
115750.8897,259,74820.40761
115752.7859,260,74818.67216
115755.7673,261,74817.36354
115759.8537,262,74816.46666
115765.0646,263,74815.96645
115771.4196,264,74815.8478
115778.9383,265,74816.09565
115787.6403,266,74816.69489
115797.5453,267,74817.63045
115808.6727,268,74818.88724
115821.0423,269,74820.45017
115834.6735,270,74822.30416
115849.5861,271,74824.43411
115865.7996,272,74826.82495
115883.3337,273,74829.46159
115902.2078,274,74832.32894
115922.4417,275,74835.41192
115944.0549,276,74838.69544
115967.0671,277,74842.16441
115991.4977,278,74845.80375
116017.3665,279,74849.59837
116044.693,280,74853.53318
116073.4969,281,74857.59311
116103.7977,282,74861.76306
116135.615,283,74866.02794
116168.9685,284,74870.37268
116203.8777,285,74874.78218
116240.3622,286,74879.24136
116278.4417,287,74883.73514
116318.1357,288,74888.24842
116359.4639,289,74892.76612
116402.4458,290,74897.27315
116447.101,291,74901.75444
116493.4492,292,74906.19488
116541.51,293,74910.57941
116591.3029,294,74914.89292
116642.8476,295,74919.12034
116696.1636,296,74923.24657
116751.2705,297,74927.25654
116808.1881,298,74931.13515
116866.9358,299,74934.86733
116927.5332,300,74938.43797
116990,301,74941.83201
117054.3414,302,74945.03754
117120.5049,303,74948.05545
117188.4238,304,74950.88984
117258.0313,305,74953.54478
117329.2606,306,74956.02435
117402.0448,307,74958.33265
117476.3173,308,74960.47374
117552.0111,309,74962.45173
117629.0596,310,74964.27069
117707.3958,311,74965.9347
117786.9531,312,74967.44786
117867.6646,313,74968.81423
117949.4635,314,74970.03791
118032.283,315,74971.12299
118116.0564,316,74972.07353
118200.7168,317,74972.89364
118286.1975,318,74973.58738
118372.4316,319,74974.15886
118459.3524,320,74974.61214
118546.893,321,74974.95131
118634.9867,322,74975.18046
118723.5667,323,74975.30367
118812.5662,324,74975.32503
118901.9183,325,74975.24861
118991.5563,326,74975.07851
119081.4134,327,74974.8188
119171.4228,328,74974.47357
119261.5177,329,74974.0469
119351.6313,330,74973.54288
119441.6969,331,74972.96559
119531.6475,332,74972.31911
119621.4165,333,74971.60753
119710.937,334,74970.83494
119800.1422,335,74970.00541
119888.9654,336,74969.12303
119977.3397,337,74968.19188
120065.1984,338,74967.21605
120152.4746,339,74966.19961
120239.1016,340,74965.14667
120325.0125,341,74964.06129
120410.1406,342,74962.94756
120494.4191,343,74961.80957
120577.7812,344,74960.6514
120660.16,345,74959.47713
120741.4889,346,74958.29085
120821.7009,347,74957.09664
120900.7294,348,74955.89858
120978.5074,349,74954.70076
121054.9683,350,74953.50727
121130.0452,351,74952.32218
121203.6713,352,74951.14958
121275.7798,353,74949.99355
121346.3039,354,74948.85818
121415.1769,355,74947.74755
121482.332,356,74946.66574
121547.7023,357,74945.61684
121611.221,358,74944.60494
121672.8214,359,74943.6341
121732.4367,360,74942.70843
121790,361,74941.83201
121845.4683,362,74941.00802
121898.8932,363,74940.23611
121950.3501,364,74939.51502
121999.9144,365,74938.84352
122047.6613,366,74938.22035
122093.6663,367,74937.64426
122138.0047,368,74937.11401
122180.7519,369,74936.62834
122221.9832,370,74936.186
122261.774,371,74935.78575
122300.1995,372,74935.42634
122337.3353,373,74935.10652
122373.2566,374,74934.82504
122408.0389,375,74934.58064
122441.7573,376,74934.37209
122474.4874,377,74934.19814
122506.3044,378,74934.05752
122537.2838,379,74933.94901
122567.5008,380,74933.87133
122597.0309,381,74933.82326
122625.9493,382,74933.80353
122654.3315,383,74933.8109
122682.2528,384,74933.84412
122709.7885,385,74933.90195
122737.0141,386,74933.98312
122764.0048,387,74934.0864
122790.836,388,74934.21054
122817.5831,389,74934.35428
122844.3214,390,74934.51637
122871.1264,391,74934.69558
122898.0732,392,74934.89064
122925.2374,393,74935.10031
122952.6942,394,74935.32335
122980.519,395,74935.55849
123008.7872,396,74935.8045
123037.5741,397,74936.06012
123066.9551,398,74936.32411
123097.0055,399,74936.59521
123127.8006,400,74936.87218
123159.416,401,74937.15377
123191.9268,402,74937.43873
123225.4085,403,74937.72581
123259.9364,404,74938.01376
123295.5858,405,74938.30133
123332.4322,406,74938.58728
123370.5509,407,74938.87035
123410.0171,408,74939.14929
123450.9064,409,74939.42286
123493.294,410,74939.68982
123537.2553,411,74939.94889
123582.8657,412,74940.19885
123630.2005,413,74940.43844
123679.335,414,74940.66642
123730.3446,415,74940.88152
123783.3048,416,74941.08251
123838.2907,417,74941.26814
123895.3779,418,74941.43715
123954.6416,419,74941.58829
124016.1572,420,74941.72033
124080,421,74941.83201
124146.2195,422,74941.92243
124214.7611,423,74941.99216
124285.5444,424,74942.04211
124358.489,425,74942.07317
124433.5143,426,74942.08628
124510.5399,427,74942.08234
124589.4853,428,74942.06226
124670.2702,429,74942.02696
124752.8139,430,74941.97734
124837.0362,431,74941.91432
124922.8564,432,74941.83881
125010.1941,433,74941.75173
125098.969,434,74941.65398
125189.1004,435,74941.54647
125280.5081,436,74941.43013
125373.1114,437,74941.30585
125466.8299,438,74941.17456
125561.5832,439,74941.03716
125657.2909,440,74940.89457
125753.8723,441,74940.7477
125851.2472,442,74940.59746
125949.335,443,74940.44476
126048.0553,444,74940.29051
126147.3276,445,74940.13563
126247.0714,446,74939.98103
126347.2064,447,74939.82763
126447.6519,448,74939.67632
126548.3276,449,74939.52803
126649.153,450,74939.38367
126750.0477,451,74939.24414
126850.9311,452,74939.11037
126951.7229,453,74938.98326
127052.3425,454,74938.86372
127152.7096,455,74938.75267
127252.7435,456,74938.65102
127352.364,457,74938.55968
127451.4904,458,74938.47956
127550.0425,459,74938.41158
127647.9396,460,74938.35664
127745.1013,461,74938.31567
127841.4473,462,74938.28956
127936.8969,463,74938.27924
128031.3698,464,74938.28561
128124.7855,465,74938.30959
128217.0635,466,74938.35209
128308.1234,467,74938.41402
128397.8847,468,74938.49629
128486.2669,469,74938.59982
128573.1896,470,74938.72551
128658.5724,471,74938.87428
128742.3347,472,74939.04705
128824.3961,473,74939.24472
128904.6762,474,74939.4682
128983.0945,475,74939.71841
129059.5704,476,74939.99626
129134.0237,477,74940.30266
129206.3737,478,74940.63852
129276.5401,479,74941.00476
129344.4423,480,74941.40228
129410,481,74941.83201
129473.1523,482,74942.30324
129533.9172,483,74942.85888
129592.3322,484,74943.55024
129648.4349,485,74944.4286
129702.2631,486,74945.54526
129753.8541,487,74946.95153
129803.2458,488,74948.69871
129850.4755,489,74950.83809
129895.5811,490,74953.42097
129938.5999,491,74956.49866
129979.5697,492,74960.12244
130018.5281,493,74964.34362
130055.5126,494,74969.2135
130090.5609,495,74974.78338
130123.7105,496,74981.10455
130154.999,497,74988.22831
130184.4641,498,74996.20597
130212.1433,499,75005.08882
130238.0743,500,75014.92817
130262.2945,501,75025.7753
130284.8418,502,75037.68152
130305.7535,503,75050.69813
130325.0674,504,75064.87642
130342.8211,505,75080.2677
130359.0521,506,75096.92326
130373.798,507,75114.89441
130387.0964,508,75134.23244
130398.9849,509,75154.98865
130409.5012,510,75177.21434
130418.6829,511,75200.96081
130426.5674,512,75226.27935
130433.1925,513,75253.22127
130438.5957,514,75281.83787
130442.8146,515,75312.18044
130445.8868,516,75344.30028
130447.85,517,75378.2487
130448.7417,518,75414.07698
130448.5995,519,75451.83644
130447.461,520,75491.57836
130445.3639,521,75533.35406
130442.3456,522,75577.21481
130438.4439,523,75623.21194
130433.6963,524,75671.39672
130428.1404,525,75721.82047
130421.8138,526,75774.53448
130414.7541,527,75829.59005
130406.999,528,75887.03848
130398.5859,529,75946.93107
130389.5526,530,76009.31912
130379.9366,531,76074.25392
130369.7755,532,76141.78678
130359.1068,533,76211.96899
130347.9683,534,76284.85185
130336.3975,535,76360.48667
130324.432,536,76438.92473
130312.1094,537,76520.21735
130299.4673,538,76604.41581
130286.5433,539,76691.57142
130273.375,540,76781.73548
130260,541,76874.95928
130246.4445,542,76971.29113
130232.6888,543,77070.76733
130218.7019,544,77173.4212
130204.4527,545,77279.28604
130189.9103,546,77388.39518
130175.0436,547,77500.78192
130159.8214,548,77616.47957
130144.2129,549,77735.52145
130128.1868,550,77857.94086
130111.7123,551,77983.77112
130094.7581,552,78113.04554
130077.2934,553,78245.79743
130059.287,554,78382.06011
130040.7079,555,78521.86688
130021.5251,556,78665.25105
130001.7074,557,78812.24594
129981.224,558,78962.88486
129960.0436,559,79117.20112
129938.1353,560,79275.22804
129915.468,561,79436.99891
129892.0107,562,79602.54707
129867.7323,563,79771.90581
129842.6018,564,79945.10844
129816.5881,565,80122.18829
129789.6602,566,80303.17866
129761.787,567,80488.11286
129732.9376,568,80677.02421
129703.0807,569,80869.94602
129672.1855,570,81066.91159
129640.2209,571,81267.95424
129607.1557,572,81473.10728
129572.9591,573,81682.40403
129537.5998,574,81895.87779
129501.0469,575,82113.56187
129463.2693,576,82335.4896
129424.236,577,82561.69427
129383.916,578,82792.2092
129342.2781,579,83027.06771
129299.2913,580,83266.3031
129254.9247,581,83509.94868
129209.1471,582,83758.03777
129161.9275,583,84010.60368
129113.2349,584,84267.67972
129063.0381,585,84529.2992
129011.3062,586,84795.49544
128958.0082,587,85066.30174
128903.1129,588,85341.75142
128846.5893,589,85621.87778
128788.4064,590,85906.71415
128728.5332,591,86196.29382
128666.9385,592,86490.65012
128603.5913,593,86789.81635
128538.4607,594,87093.82583
128471.5155,595,87402.71187
128402.7247,596,87716.50778
128332.0572,597,88035.24686
128259.4821,598,88358.96244
128184.9682,599,88687.68782
128108.4845,600,89021.45632
128030,601,89360.30125
127949.5007,602,89704.18809
127867.0411,603,90052.81104
127782.6929,604,90405.79646
127696.5275,605,90762.77073
127608.6165,606,91123.36022
127519.0316,607,91487.19129
127427.8444,608,91853.89031
127335.1264,609,92223.08366
127240.9492,610,92594.39769
127145.3843,611,92967.45879
127048.5035,612,93341.89331
126950.3782,613,93717.32764
126851.0801,614,94093.38813
126750.6807,615,94469.70116
126649.2517,616,94845.89309
126546.8646,617,95221.5903
126443.5909,618,95596.41915
126339.5024,619,95970.00602
126234.6705,620,96341.97727
126129.1669,621,96711.95926
126023.0631,622,97079.57838
125916.4307,623,97444.46099
125809.3414,624,97806.23345
125701.8666,625,98164.52215
125594.0781,626,98518.95344
125486.0473,627,98869.15369
125377.8459,628,99214.74928
125269.5454,629,99555.36657
125161.2175,630,99890.63194
125052.9336,631,100220.1717
124944.7655,632,100543.6124
124836.7847,633,100860.5802
124729.0627,634,101170.7015
124621.6712,635,101473.6028
124514.6817,636,101768.9103
124408.1659,637,102056.2505
124302.1953,638,102335.2498
124196.8415,639,102605.5344
124092.1761,640,102866.7308
123988.2707,641,103118.4653
123885.1968,642,103360.3643
123783.0261,643,103592.0542
123681.8301,644,103813.1613
123581.6805,645,104023.3121
123482.6487,646,104222.1328
123384.8065,647,104409.2499
123288.2253,648,104584.2897
123192.9768,649,104746.8785
123099.1325,650,104896.6428
123006.7641,651,105033.209
122915.9431,652,105156.2033
122826.7412,653,105265.2522
122739.2298,654,105359.9821
122653.4806,655,105440.0192
122569.5651,656,105504.99
122487.555,657,105554.5208
122407.5219,658,105588.2381
122329.5373,659,105605.7681
122253.6728,660,105606.7372
122180,661,105590.7719
122108.5705,662,105557.6631
122039.3563,663,105507.8605
121972.3092,664,105441.9785
121907.3811,665,105360.6312
121844.524,666,105264.4332
121783.6899,667,105153.9986
121724.8305,668,105029.9417
121667.8979,669,104892.877
121612.844,670,104743.4187
121559.6207,671,104582.1812
121508.18,672,104409.7787
121458.4736,673,104226.8256
121410.4537,674,104033.9362
121364.072,675,103831.7248
121319.2806,676,103620.8057
121276.0313,677,103401.7933
121234.2761,678,103175.3018
121193.9669,679,102941.9457
121155.0556,680,102702.3391
121117.4942,681,102457.0965
121081.2345,682,102206.832
121046.2286,683,101952.1602
121012.4282,684,101693.6952
120979.7854,685,101432.0514
120948.252,686,101167.8431
120917.7801,687,100901.6846
120888.3214,688,100634.1903
120859.828,689,100365.9745
120832.2518,690,100097.6514
120805.5446,691,99829.83539
120779.6585,692,99563.14081
120754.5453,693,99298.18197
120730.1569,694,99035.57318
120706.4454,695,98775.92875
120683.3625,696,98519.86301
120660.8603,697,98267.99027
120638.8907,698,98020.92485
120617.4055,699,97779.28106
120596.3567,700,97543.67323
120575.6963,701,97314.71568
120555.3761,702,97093.02271
120535.3481,703,96879.20866
120515.5641,704,96673.88782
120495.9763,705,96477.67454
120476.5363,706,96291.18311
120457.1963,707,96115.02786
120437.908,708,95949.82311
120418.6235,709,95796.18318
120399.2946,710,95654.72237
120379.8733,711,95526.05502
120360.3115,712,95410.79543
120340.5611,713,95309.55793
120320.574,714,95222.95683
120300.3023,715,95151.60645
120279.6977,716,95096.12111
120258.7122,717,95057.11513
120237.2978,718,95035.20282
120215.4063,719,95030.9985
120192.9898,720,95045.11649
120170,721,95078.1711
120146.3961,722,95130.55878
120122.1655,723,95201.80442
120097.3029,724,95291.21503
120071.8029,725,95398.09764
120045.66,726,95521.75926
120018.8689,727,95661.5069
119991.4241,728,95816.64759
119963.3204,729,95986.48834
119934.5522,730,96170.33616
119905.1142,731,96367.49807
119875.001,732,96577.2811
119844.2072,733,96798.99224
119812.7274,734,97031.93853
119780.5563,735,97275.42697
119747.6883,736,97528.76459
119714.1182,737,97791.2584
119679.8405,738,98062.21541
119644.8499,739,98340.94265
119609.1409,740,98626.74713
119572.7082,741,98918.93586
119535.5463,742,99216.81587
119497.6499,743,99519.69416
119459.0135,744,99826.87776
119419.6318,745,100137.6737
119379.4994,746,100451.3889
119338.6109,747,100767.3305
119296.9609,748,101084.8055
119254.544,749,101403.1209
