X_Value,Base,Variation,Y_Value
1,534551.1875,-49177.875,485373.3125
2,534551.1875,-49531.5,485019.6875
3,534551.1875,-49934.09375,484617.0938
4,534551.1875,-50384.09375,484167.0938
5,534551.1875,-50880,483671.1875
6,534551.1875,-51420.34375,483130.8438
7,534551.1875,-52003.5625,482547.625
8,534551.1875,-52628.1875,481923
9,534551.1875,-53292.6875,481258.5
10,534551.1875,-53995.53125,480555.6563
11,534551.1875,-54735.25,479815.9375
12,534551.1875,-55510.34375,479040.8438
13,534551.1875,-56319.25,478231.9375
14,534551.1875,-57160.46875,477390.7188
15,534551.1875,-58032.53125,476518.6563
16,534551.1875,-58933.90625,475617.2813
17,534551.1875,-59863.0625,474688.125
18,534551.1875,-60818.5,473732.6875
19,534551.1875,-61798.71875,472752.4688
20,534551.1875,-62802.21875,471748.9688
21,534551.1875,-63827.46875,470723.7188
22,534551.1875,-64872.96875,469678.2188
23,534551.1875,-65937.1875,468614
24,534551.1875,-67018.65625,467532.5313
25,534551.1875,-68115.84375,466435.3438
26,534551.1875,-69227.21875,465323.9688
27,534551.1875,-70351.3125,464199.875
28,534551.1875,-71486.5625,463064.625
29,534551.1875,-72631.5,461919.6875
30,534551.1875,-73784.625,460766.5625
31,534551.1875,-74944.375,459606.8125
32,534551.1875,-76109.28125,458441.9063
33,534551.1875,-77277.8125,457273.375
34,534551.1875,-78448.5,456102.6875
35,534551.1875,-79619.78125,454931.4063
36,534551.1875,-80790.15625,453761.0313
37,534551.1875,-81958.125,452593.0625
38,534551.1875,-83122.21875,451428.9688
39,534551.1875,-84280.84375,450270.3438
40,534551.1875,-85432.5625,449118.625
41,534551.1875,-86575.8125,447975.375
42,534551.1875,-87709.125,446842.0625
43,534551.1875,-88830.96875,445720.2188
44,534551.1875,-89939.8125,444611.375
45,534551.1875,-91034.1875,443517
46,534551.1875,-92112.59375,442438.5938
47,534551.1875,-93173.46875,441377.7188
48,534551.1875,-94215.3125,440335.875
49,534551.1875,-95236.65625,439314.5313
50,534551.1875,-96235.9375,438315.25
51,534551.1875,-97211.6875,437339.5
52,534551.1875,-98162.375,436388.8125
53,534551.1875,-99086.5,435464.6875
54,534551.1875,-99982.5625,434568.625
55,534551.1875,-100849,433702.1875
56,534551.1875,-101684.375,432866.8125
57,534551.1875,-102487.125,432064.0625
58,534551.1875,-103255.75,431295.4375
59,534551.1875,-103988.75,430562.4375
60,534551.1875,-104684.625,429866.5625
61,534551.1875,-105341.8438,429209.3437
62,534551.1875,-105959.3125,428591.875
63,534551.1875,-106537.4688,428013.7187
64,534551.1875,-107077.1563,427474.0312
65,534551.1875,-107579.3125,426971.875
66,534551.1875,-108044.6875,426506.5
67,534551.1875,-108474.2188,426076.9687
68,534551.1875,-108868.75,425682.4375
69,534551.1875,-109229.125,425322.0625
70,534551.1875,-109556.1875,424995
71,534551.1875,-109850.8438,424700.3437
72,534551.1875,-110113.9063,424437.2812
73,534551.1875,-110346.25,424204.9375
74,534551.1875,-110548.7188,424002.4687
75,534551.1875,-110722.1875,423829
76,534551.1875,-110867.5,423683.6875
77,534551.1875,-110985.5313,423565.6562
78,534551.1875,-111077.1563,423474.0312
79,534551.1875,-111143.1875,423408
80,534551.1875,-111184.5,423366.6875
81,534551.1875,-111201.9375,423349.25
82,534551.1875,-111196.4063,423354.7812
83,534551.1875,-111168.7188,423382.4687
84,534551.1875,-111119.75,423431.4375
85,534551.1875,-111050.375,423500.8125
86,534551.1875,-110961.4063,423589.7812
87,534551.1875,-110853.7188,423697.4687
88,534551.1875,-110728.2188,423822.9687
89,534551.1875,-110585.6875,423965.5
