X_Value,Base,Z1_Value,Variation,Y_Value,Z_Value
1,534551.1875,-94021.1875,-49177.875,485373.3125,440530
2,534551.1875,-94411.15625,-49531.5,485019.6875,440140.0313
3,534551.1875,-94798.15625,-49934.09375,484617.0938,439753.0313
4,534551.1875,-95182.21875,-50384.09375,484167.0938,439368.9688
5,534551.1875,-95563.36719,-50880,483671.1875,438987.8203
6,534551.1875,-95941.61719,-51420.34375,483130.8438,438609.5703
7,534551.1875,-96317.00781,-52003.5625,482547.625,438234.1797
8,534551.1875,-96689.54688,-52628.1875,481923,437861.6406
9,534551.1875,-97059.27344,-53292.6875,481258.5,437491.9141
10,534551.1875,-97426.21094,-53995.53125,480555.6563,437124.9766
11,534551.1875,-97790.38281,-54735.25,479815.9375,436760.8047
12,534551.1875,-98151.8125,-55510.34375,479040.8438,436399.375
13,534551.1875,-98510.52344,-56319.25,478231.9375,436040.6641
14,534551.1875,-98866.53906,-57160.46875,477390.7188,435684.6484
15,534551.1875,-99219.89063,-58032.53125,476518.6563,435331.2969
16,534551.1875,-99570.59375,-58933.90625,475617.2813,434980.5938
17,534551.1875,-99918.6875,-59863.0625,474688.125,434632.5
18,534551.1875,-100264.1875,-60818.5,473732.6875,434287
19,534551.1875,-100607.1172,-61798.71875,472752.4688,433944.0703
20,534551.1875,-100947.5,-62802.21875,471748.9688,433603.6875
21,534551.1875,-101285.3672,-63827.46875,470723.7188,433265.8203
22,534551.1875,-101620.75,-64872.96875,469678.2188,432930.4375
23,534551.1875,-101953.6563,-65937.1875,468614,432597.5312
24,534551.1875,-102284.1172,-67018.65625,467532.5313,432267.0703
25,534551.1875,-102612.1641,-68115.84375,466435.3438,431939.0234
26,534551.1875,-102937.8203,-69227.21875,465323.9688,431613.3672
27,534551.1875,-103261.1016,-70351.3125,464199.875,431290.0859
28,534551.1875,-103582.0391,-71486.5625,463064.625,430969.1484
29,534551.1875,-103900.6641,-72631.5,461919.6875,430650.5234
30,534551.1875,-104216.9922,-73784.625,460766.5625,430334.1953
31,534551.1875,-104531.0469,-74944.375,459606.8125,430020.1406
32,534551.1875,-104842.8594,-76109.28125,458441.9063,429708.3281
33,534551.1875,-105152.4609,-77277.8125,457273.375,429398.7266
34,534551.1875,-105459.8594,-78448.5,456102.6875,429091.3281
35,534551.1875,-105765.0859,-79619.78125,454931.4063,428786.1016
36,534551.1875,-106068.1719,-80790.15625,453761.0313,428483.0156
37,534551.1875,-106369.1406,-81958.125,452593.0625,428182.0469
38,534551.1875,-106668.0156,-83122.21875,451428.9688,427883.1719
39,534551.1875,-106964.8203,-84280.84375,450270.3438,427586.3672
40,534551.1875,-107259.5781,-85432.5625,449118.625,427291.6094
41,534551.1875,-107552.3125,-86575.8125,447975.375,426998.875
42,534551.1875,-107843.0547,-87709.125,446842.0625,426708.1328
43,534551.1875,-108131.8281,-88830.96875,445720.2188,426419.3594
44,534551.1875,-108418.6563,-89939.8125,444611.375,426132.5312
45,534551.1875,-108703.5625,-91034.1875,443517,425847.625
46,534551.1875,-108986.5703,-92112.59375,442438.5938,425564.6172
47,534551.1875,-109267.7109,-93173.46875,441377.7188,425283.4766
48,534551.1875,-109547,-94215.3125,440335.875,425004.1875
49,534551.1875,-109824.4766,-95236.65625,439314.5313,424726.7109
50,534551.1875,-110100.1563,-96235.9375,438315.25,424451.0312
51,534551.1875,-110374.0625,-97211.6875,437339.5,424177.125
52,534551.1875,-110646.2188,-98162.375,436388.8125,423904.9687
53,534551.1875,-110916.6563,-99086.5,435464.6875,423634.5312
54,534551.1875,-111185.3984,-99982.5625,434568.625,423365.7891
55,534551.1875,-111452.4688,-100849,433702.1875,423098.7187
56,534551.1875,-111717.8984,-101684.375,432866.8125,422833.2891
57,534551.1875,-111981.6953,-102487.125,432064.0625,422569.4922
58,534551.1875,-112243.9063,-103255.75,431295.4375,422307.2812
59,534551.1875,-112504.5391,-103988.75,430562.4375,422046.6484
60,534551.1875,-112763.625,-104684.625,429866.5625,421787.5625
61,534551.1875,-113021.1875,-105341.8438,429209.3437,421530
62,534551.1875,-113277.2578,-105959.3125,428591.875,421273.9297
63,534551.1875,-113531.8516,-106537.4688,428013.7187,421019.3359
64,534551.1875,-113785,-107077.1563,427474.0312,420766.1875
65,534551.1875,-114036.7188,-107579.3125,426971.875,420514.4687
66,534551.1875,-114287.0469,-108044.6875,426506.5,420264.1406
67,534551.1875,-114536.0078,-108474.2188,426076.9687,420015.1797
68,534551.1875,-114783.6094,-108868.75,425682.4375,419767.5781
69,534551.1875,-115029.8984,-109229.125,425322.0625,419521.2891
70,534551.1875,-115274.8828,-109556.1875,424995,419276.3047
71,534551.1875,-115518.5938,-109850.8438,424700.3437,419032.5937
72,534551.1875,-115761.0547,-110113.9063,424437.2812,418790.1328
73,534551.1875,-116002.2969,-110346.25,424204.9375,418548.8906
74,534551.1875,-116242.3438,-110548.7188,424002.4687,418308.8437
75,534551.1875,-116481.2109,-110722.1875,423829,418069.9766
76,534551.1875,-116718.9297,-110867.5,423683.6875,417832.2578
77,534551.1875,-116955.5313,-110985.5313,423565.6562,417595.6562
78,534551.1875,-117191.0234,-111077.1563,423474.0312,417360.1641
79,534551.1875,-117425.4453,-111143.1875,423408,417125.7422
80,534551.1875,-117658.8203,-111184.5,423366.6875,416892.3672
