X_Value,Y1_Value,Base,Variation,Y4_Value,Y3_Value,Y2_Value
1,134293.5277,534551.1875,-49177.875,485373.3125,102247.229,400000
2,-16814.90514,534551.1875,-49531.5,485019.6875,102047.3154,400000
3,-16968.45352,534551.1875,-49934.09375,484617.0938,101852.9718,400000
4,-17176.47343,534551.1875,-50384.09375,484167.0938,101663.9789,400000
5,-17437.19499,534551.1875,-50880,483671.1875,101480.1178,400000
6,-17748.90035,534551.1875,-51420.34375,483130.8438,101301.1693,400000
7,-18109.90402,534551.1875,-52003.5625,482547.625,101126.9142,400000
8,-18518.42573,534551.1875,-52628.1875,481923,100957.1336,400000
9,-18972.78003,534551.1875,-53292.6875,481258.5,100791.6083,400000
10,-19471.21779,534551.1875,-53995.53125,480555.6563,100630.1193,400000
11,-20011.9914,534551.1875,-54735.25,479815.9375,100472.4474,400000
12,-20593.41398,534551.1875,-55510.34375,479040.8438,100318.3735,400000
13,-21213.76855,534551.1875,-56319.25,478231.9375,100167.6787,400000
14,-21871.2754,534551.1875,-57160.46875,477390.7188,100020.1437,400000
15,-22564.21727,534551.1875,-58032.53125,476518.6563,99875.54938,400000
16,-23290.9081,534551.1875,-58933.90625,475617.2813,99733.67681,400000
17,-24049.59943,534551.1875,-59863.0625,474688.125,99594.30683,400000
18,-24838.54277,534551.1875,-60818.5,473732.6875,99457.22034,400000
19,-25656.02085,534551.1875,-61798.71875,472752.4688,99322.19825,400000
20,-26500.3164,534551.1875,-62802.21875,471748.9688,99189.02149,400000
21,-27369.71216,534551.1875,-63827.46875,470723.7188,99057.47093,400000
22,-28262.45964,534551.1875,-64872.96875,469678.2188,98927.3275,400000
23,-29176.84158,534551.1875,-65937.1875,468614,98798.37209,400000
24,-30111.10949,534551.1875,-67018.65625,467532.5313,98670.38564,400000
25,-31063.57732,534551.1875,-68115.84375,466435.3438,98543.14902,400000
26,-32032.49659,534551.1875,-69227.21875,465323.9688,98416.44316,400000
27,-33016.11881,534551.1875,-70351.3125,464199.875,98290.04897,400000
28,-34012.75791,534551.1875,-71486.5625,463064.625,98163.74734,400000
29,-35020.63423,534551.1875,-72631.5,461919.6875,98037.31919,400000
30,-36038.06168,534551.1875,-73784.625,460766.5625,97910.54542,400000
